sentence,hiragana
これは人工的なサンプルテキストです,これはじんこうてきなさんぷるてきすとです
よくぞここまで辿り着いた,よくぞここまでたどりついた
タイピングの練習,たいぴんぐのれんしゅう
クォリティーオブライフ,くぉりてぃーおぶらいふ
般若心経で妖怪退治,はんにゃしんぎょうでようかいたいじ
最高の結末を迎えるまでの7日間,さいこうのけつまつをむかえるまでのなのかかん
古典至上主義の読書家,こてんしじょうしゅぎのどくしょか
YoutubeでNetflix独占配信ドラマの感想を見る,YoutubeでNetflixどくせんはいしんどらまのかんそうをみる
最近疲れてない?,さいきんつかれてない?
マッチングアプリ最多利用でギネスブックに載る,まっちんぐあぷりさいたりようでぎねすぶっくにのる
バグを処刑する,ばぐをしょけいする
フリーゲームを漁ってゴールデンウィークを過ごす,ふりーげーむをあさってごーるでんうぃーくをすごす
パンダの貴重な産卵シーン,ぱんだのきちょうなさんらんしーん
夢に見た出来事,ゆめにみたできごと
時間を忘れて没頭,じかんをわすれてぼっとう
スペシャルエディション,すぺしゃるえでぃしょん
分かる言葉で話してくれ,わかることばではなしてくれ
練習は楽しいと洗脳する,れんしゅうはたのしいとせんのうする
犬が勉強するDVDが3万枚売れた,いぬがべんきょうするDVDが3まんまいうれた
ざらざらした石,ざらざらしたいし
畏み畏みも申す,かしこみかしこみももうす
無免許運転の峠下り,むめんきょうんてんのとうげくだり
あの子はジャズが好きらしい,あのこはじゃずがすきらしい
リアリティーに欠ける話,りありてぃーにかけるはなし
街中でネタバレを叫んではいけない,まちなかでねたばれをさけんではいけない
聞いたことはあるのに名前がわからない曲,きいたことはあるのになまえがわからないきょく
イギリス英語とアメリカ英語の戦争,いぎりすえいごとあめりかえいごのせんそう
情報量のない友達,じょうほうりょうのないともだち
マッドサイエンティストに、おれはなる!,まっどさいえんてぃすとに、おれはなる!
お疲れ様です,おつかれさまです
